frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
75,6.0,[1024.9282231448597 1279.259422621427 1702.9959329180951 1782.8037140680308],[1281.071533203125 1607.616943359375 1439.81689453125 1656.7269287109375],0.6571843028068542,GX15OGJ,0.4004337629841587
77,6.0,[1018.1699441702053 1286.4167522438595 1700.384303979079 1793.8650109247953],[1281.266357421875 1619.3631591796875 1443.64794921875 1671.609375],0.626569390296936,GX15OGJ,0.2951516413730999
79,6.0,[1013.9934190149058 1296.2662575457337 1700.066455539352 1805.3304844990173],[1271.6495361328125 1634.13720703125 1444.8515625 1684.537353515625],0.44301721453666687,GX15OGJ,0.19103812495552183
84,6.0,[1002.2612576870299 1322.0165661847777 1695.7193547171794 1844.2860191657055],[1255.6402587890625 1667.8828125 1424.300048828125 1720.346923828125],0.5899065732955933,GX15OGJ,0.3921806629187456
85,6.0,[1001.3158718171862 1326.7478479595097 1694.9740201088116 1850.6298259280024],[1256.1878662109375 1670.7283935546875 1421.570556640625 1721.948486328125],0.6130000948905945,GX15OGJ,0.2161802402226992
86,6.0,[998.0949686653655 1330.8771871827184 1694.2730386503083 1857.047041891714],[1256.543701171875 1680.33837890625 1429.836181640625 1731.9254150390625],0.3777768611907959,GX15OCJ,0.2730021586559988
87,6.0,[994.405563144908 1334.75113360072 1692.7205207919899 1864.0151730601583],[1253.8846435546875 1688.06689453125 1420.216064453125 1738.1319580078125],0.6388988494873047,GX15OCJ,0.21340985869625928
88,6.0,[990.8439281840841 1337.849249161402 1691.6684767985967 1870.2232765439862],[1252.4150390625 1693.81640625 1424.2266845703125 1745.0068359375],0.6534897685050964,GX15OGJ,0.6786701080276276
90,6.0,[984.2920151475435 1349.5487161984652 1690.3225441156835 1886.1164330303518],[1236.0780029296875 1704.0194091796875 1410.0677490234375 1755.6192626953125],0.6399135589599609,GX15OGJ,0.14604701395623557
92,12.0,[1185.6566571636486 1000.3032885553897 1639.4449767679685 1399.577243221598],[1338.34765625 1244.241943359375 1478.456298828125 1294.7830810546875],0.39282485842704773,KM15ZIR,0.30115684807764026
93,6.0,[974.8569312469192 1370.4075115484409 1690.02106704817 1907.5285440370074],[1235.3968505859375 1722.9957275390625 1406.45068359375 1775.4239501953125],0.35588741302490234,GX15OGJ,0.37794314645627813
95,6.0,[968.2855918679348 1382.0819778475602 1687.3272842208266 1922.0441858216036],[1231.018798828125 1736.32470703125 1409.1309814453125 1790.8736572265625],0.7203251123428345,GX15OGJ,0.6483488899088571
95,5.0,[2026.871690073953 1077.7462336683036 2555.84438264418 1508.4856150753433],[2222.39794921875 1359.2698974609375 2382.464599609375 1403.8831787109375],0.5142289996147156,AF05JEO,0.10632393301678886
97,6.0,[960.7807315735593 1390.0474178237139 1683.3700681732928 1938.2107381700396],[1227.6043701171875 1750.72607421875 1400.636474609375 1799.0538330078125],0.6678442358970642,GX15OGJ,0.23494062372339838
98,12.0,[1174.286806309258 1016.0998176543849 1633.756870566683 1422.1938519249838],[1329.7186279296875 1266.240234375 1469.0955810546875 1310.6766357421875],0.6538594961166382,KK05ZIM,0.32933096621603875
98,6.0,[957.9031866814996 1395.5679490622613 1681.3249807834015 1946.8876911192908],[1224.473876953125 1761.8028564453125 1400.9476318359375 1813.067626953125],0.6397740244865417,GX15OCJ,0.212551549611667
99,5.0,[2026.075973665672 1090.3652419785371 2568.416577618358 1526.241597546723],[2240.35107421875 1377.683349609375 2406.29736328125 1424.32421875],0.3684494197368622,AF05JEO,0.41255791671293107
100,6.0,[952.2808454341413 1406.7640105866612 1679.3063014011277 1962.5944271699605],[1223.956787109375 1770.5247802734375 1408.0345458984375 1822.4066162109375],0.41100600361824036,GX15OCJ,0.3612148669522432
100,5.0,[2024.339922446805 1091.994605269075 2569.1712608300604 1529.4493712697188],[2226.893798828125 1384.70068359375 2400.013427734375 1442.3082275390625],0.2559051215648651,AF05JEO,0.06738959059638887
101,6.0,[946.4343489847923 1414.1785026830607 1677.0551607415741 1971.5593871877063],[1218.5308837890625 1783.485107421875 1393.165283203125 1833.56884765625],0.6402750015258789,GX15QCJ,0.19528477767388241
102,6.0,[939.6621756282987 1422.6141973377673 1674.5396579209366 1981.990220395053],[1217.7366943359375 1788.4346923828125 1397.4124755859375 1841.7242431640625],0.6663296818733215,GX15OCJ,0.2992624268613629
102,5.0,[2026.0093340626993 1100.4433713667427 2577.3008906564646 1540.130674992722],[2219.998046875 1396.69775390625 2403.947998046875 1447.92333984375],0.3779105544090271,AP05JEO,0.6795572881993683
103,5.0,[2025.7211505031294 1103.6931906103464 2580.9998599361693 1543.965280868223],[2220.01123046875 1397.6617431640625 2406.703369140625 1450.278564453125],0.4813639223575592,AP05JEO,0.7874008125624062
104,6.0,[931.7812005619758 1432.886180779827 1673.186486056129 1995.2488586734376],[1206.97607421875 1802.437255859375 1383.52783203125 1857.8760986328125],0.6359626650810242,GI15OGJ,0.09895079864624343
104,5.0,[2024.638177502833 1106.2815324720334 2583.9891046804833 1546.9568064317489],[2217.584716796875 1395.272216796875 2406.244140625 1448.5225830078125],0.48551109433174133,AP05JEO,0.28451612903943024
105,6.0,[928.2231889810714 1440.1607000449455 1672.562327757124 2002.9543628990402],[1209.5802001953125 1816.435302734375 1389.916259765625 1867.203125],0.6603620648384094,GX15OGJ,0.3465508378890223
105,5.0,[2023.771567409774 1109.0220709091222 2584.8840597816366 1550.3423240279508],[2225.856201171875 1402.360107421875 2406.583740234375 1451.042724609375],0.5487117171287537,AP05JEO,0.39755140840440223
106,5.0,[2024.6526136818081 1110.993188846036 2588.6903475819863 1553.618268156466],[2220.593505859375 1404.550048828125 2408.64794921875 1455.5341796875],0.5060297846794128,AP05JEO,0.4281600056301469
107,6.0,[921.2028958472688 1452.427630612388 1670.1775167664427 2017.52963735619],[1204.135009765625 1828.2620849609375 1383.5128173828125 1879.0284423828125],0.5893905758857727,GX15OGJ,0.2249130710515558
108,5.0,[2024.7490754555208 1119.3846992997233 2594.7603607949404 1563.9564941651256],[2229.481689453125 1413.6602783203125 2401.87646484375 1459.0447998046875],0.5532206296920776,AP05JEO,0.380205067957377
109,6.0,[915.399448225284 1466.059572590932 1667.400255708392 2034.23479170138],[1191.437255859375 1841.802001953125 1369.104248046875 1892.5302734375],0.6622876524925232,GX15OGJ,0.2373523345178141
110,5.0,[2023.5265230975322 1125.6033902732531 2599.0786702065766 1571.8533982703163],[2236.7412109375 1417.0198974609375 2416.904296875 1467.28271484375],0.6521163582801819,AP05JEO,0.27904205132502824
110,12.0,[1157.4261932800325 1050.7683399327561 1631.0399438449815 1463.3276544259634],[1317.054931640625 1302.957275390625 1461.5394287109375 1349.670654296875],0.45929399132728577,KH35ZZK,0.22047285748685827
111,6.0,[908.096792681772 1480.8472743601474 1664.1984147286257 2055.122808925375],[1185.610107421875 1863.85107421875 1365.7841796875 1917.2779541015625],0.6247883439064026,GY15OGJ,0.7897942209994855
111,5.0,[2023.5137574478356 1127.4537705406658 2600.235825230368 1575.183956380514],[2235.4345703125 1422.1439208984375 2411.396728515625 1470.3760986328125],0.6135215759277344,AP05JEO,0.12882697540325128
111,12.0,[1155.524878366075 1052.5776446242958 1631.408084726384 1467.2090859174805],[1316.4224853515625 1303.5845947265625 1460.6993408203125 1354.1314697265625],0.6079722046852112,KH35ZZK,0.18629496370864035
113,12.0,[1147.977712570082 1055.47577776933 1629.4534173940674 1473.3413359519757],[1319.7816162109375 1310.9862060546875 1459.17626953125 1358.9488525390625],0.5854434370994568,KH05ZIR,0.4550172507060579
114,6.0,[898.416278583458 1499.468668649723 1661.5459150369627 2083.8801988284754],[1181.0450439453125 1886.845458984375 1363.4371337890625 1939.0858154296875],0.6905561685562134,GX15OGJ,0.5032958752986786
114,5.0,[2023.0559845429523 1136.0082154679194 2604.9631654057334 1592.064713501004],[2230.505859375 1435.7523193359375 2420.115966796875 1488.9896240234375],0.35976192355155945,AF05JEO,0.2375028738506042
115,5.0,[2023.37674745924 1138.6980916091359 2605.766788547007 1596.424946545317],[2224.8046875 1443.5064697265625 2421.024658203125 1494.8756103515625],0.5360798835754395,AF05JEQ,0.23610700802902243
116,6.0,[891.2995452673367 1511.2976694877038 1658.4118514866482 2099.694157816142],[1171.237060546875 1906.2279052734375 1355.68017578125 1956.9327392578125],0.659239649772644,GX15OGJ,0.2961179222617488
116,12.0,[1137.7177739162057 1065.9047585056087 1625.6884995999003 1483.5024838858371],[1309.301513671875 1320.152099609375 1454.5960693359375 1369.1041259765625],0.6334298849105835,KH15ZIK,0.47463005946554276
116,5.0,[2021.6860539540394 1141.959809605536 2604.4972138129524 1601.2109056757458],[2225.219482421875 1447.3177490234375 2431.97412109375 1498.1474609375],0.45569467544555664,AF05JEO,0.24295507135046684
117,5.0,[2020.8158029024717 1146.0956083797073 2605.219932676714 1606.1291524808266],[2229.962890625 1453.2486572265625 2420.14013671875 1500.65478515625],0.6416006088256836,AP05JEQ,0.46057241614760075
117,6.0,[885.6872446176606 1520.276558973821 1656.84823278612 2110.054433753934],[1172.1748046875 1914.230712890625 1362.1302490234375 1966.98046875],0.5962582230567932,GY15OGJ,0.30743922361187265
118,12.0,[1130.0641518170685 1070.8896667305632 1623.2843232959742 1488.3630297209154],[1311.0693359375 1325.333251953125 1454.7869873046875 1373.9169921875],0.624474287033081,KH05ZIK,0.16887604315552449
118,5.0,[2021.805875100937 1149.2701144906723 2606.953175628661 1610.3574365056566],[2229.845947265625 1453.7545166015625 2415.21728515625 1502.8714599609375],0.5908836722373962,AP05JEO,0.15718205719454006
118,6.0,[882.6876217329246 1524.6706778876803 1657.08635925506 2115.1049661368406],[1169.682861328125 1918.8853759765625 1354.3033447265625 1972.9857177734375],0.42053842544555664,GX15OGJ,0.4211350238291972
119,6.0,[878.622531700979 1533.1965566772938 1656.2158091725473 2125.150447304466],[1164.3782958984375 1930.5128173828125 1353.2340087890625 1980.4632568359375],0.6851171851158142,GX15OGJ,0.3472215334520053
119,5.0,[2023.3591019773573 1154.5986920219655 2609.6490802933877 1616.380768370421],[2235.08349609375 1458.6431884765625 2422.865966796875 1509.4322509765625],0.646055281162262,AP05JEQ,0.12524896610031322
120,6.0,[872.5961715112385 1542.5854332090673 1653.3287034578502 2135.7097466771593],[1162.0423583984375 1935.14501953125 1350.21435546875 1990.127197265625],0.6610950827598572,GY15OCJ,0.09909206839176483
